DateTimeUtc,forecast_consumption,model,forecast_day,actual_consumption,error,abs_error,spot_eur_per_mwh,impact_eur,abs_impact_eur
2025-02-16 00:00:00+00:00,539.4432229166672,RF,2025-02-16,538.58,0.863222916667155,0.863222916667155,130.20250000000001,0.11239378180735526,0.11239378180735526
2025-02-16 00:00:00+00:00,548.65771484375,XGB,2025-02-16,538.58,10.077714843749959,10.077714843749959,130.20250000000001,1.3121436669433542,1.3121436669433542
2025-02-16 01:00:00+00:00,501.51751708984375,XGB,2025-02-16,493.964,7.553517089843751,7.553517089843751,124.9025,0.9434531683142092,0.9434531683142092
2025-02-16 01:00:00+00:00,501.7492354999989,RF,2025-02-16,493.964,7.785235499998919,7.785235499998919,124.9025,0.972395377038615,0.972395377038615
2025-02-16 02:00:00+00:00,455.76483016666555,RF,2025-02-16,447.168,8.59683016666554,8.59683016666554,120.8175,1.0386475286611139,1.0386475286611139
2025-02-16 02:00:00+00:00,451.6004943847656,XGB,2025-02-16,447.168,4.432494384765619,4.432494384765619,120.8175,0.5355228903314202,0.5355228903314202
2025-02-16 03:00:00+00:00,458.06991376190496,RF,2025-02-16,468.479,-10.409086238095028,10.409086238095028,119.6525,-1.2454731911036654,1.2454731911036654
2025-02-16 03:00:00+00:00,461.5513610839844,XGB,2025-02-16,468.479,-6.92763891601561,6.92763891601561,119.6525,-0.8289093153985577,0.8289093153985577
2025-02-16 04:00:00+00:00,457.9596920833326,RF,2025-02-16,447.925,10.034692083332573,10.034692083332573,120.2375,1.2065462893697003,1.2065462893697003
2025-02-16 04:00:00+00:00,456.1575622558594,XGB,2025-02-16,447.925,8.232562255859364,8.232562255859364,120.2375,0.9898627042388902,0.9898627042388902
2025-02-16 05:00:00+00:00,459.67894579761946,RF,2025-02-16,462.282,-2.6030542023805197,2.6030542023805197,121.2175,-0.3155357227770606,0.3155357227770606
2025-02-16 05:00:00+00:00,457.2616271972656,XGB,2025-02-16,462.282,-5.020372802734357,5.020372802734357,121.2175,-0.608557040215452,0.608557040215452
2025-02-16 06:00:00+00:00,462.0209152500009,RF,2025-02-16,466.565,-4.544084749999115,4.544084749999115,127.91999999999999,-0.5812793212198868,0.5812793212198868
2025-02-16 06:00:00+00:00,460.3522644042969,XGB,2025-02-16,466.565,-6.212735595703123,6.212735595703123,127.91999999999999,-0.7947331374023434,0.7947331374023434
2025-02-16 07:00:00+00:00,496.1612424999992,RF,2025-02-16,513.63,-17.468757500000777,17.468757500000777,133.535,-2.3326905327626037,2.3326905327626037
2025-02-16 07:00:00+00:00,499.5220642089844,XGB,2025-02-16,513.63,-14.10793579101562,14.10793579101562,133.535,-1.8839032058532708,1.8839032058532708
2025-02-16 08:00:00+00:00,592.072021484375,XGB,2025-02-16,597.295,-5.222978515624959,5.222978515624959,134.7125,-0.7036004932861273,0.7036004932861273
2025-02-16 08:00:00+00:00,585.5041813333332,RF,2025-02-16,597.295,-11.790818666666723,11.790818666666723,134.7125,-1.5883706596333411,1.5883706596333411
2025-02-16 09:00:00+00:00,620.0368041992188,XGB,2025-02-16,625.127,-5.090195800781203,5.090195800781203,134.8625,-0.686476531182855,0.686476531182855
2025-02-16 09:00:00+00:00,623.4061600000009,RF,2025-02-16,625.127,-1.7208399999990434,1.7208399999990434,134.8625,-0.232076784499871,0.232076784499871
2025-02-16 10:00:00+00:00,685.534423828125,XGB,2025-02-16,686.496,-0.9615761718749809,0.9615761718749809,135.7275,-0.13051232986816147,0.13051232986816147
2025-02-16 10:00:00+00:00,683.9006308333337,RF,2025-02-16,686.496,-2.5953691666662735,2.5953691666662735,135.7275,-0.3522629685686966,0.3522629685686966
2025-02-16 11:00:00+00:00,724.0413818359375,XGB,2025-02-16,714.423,9.618381835937498,9.618381835937498,132.3775,1.2732573414868162,1.2732573414868162
2025-02-16 11:00:00+00:00,713.3471535558069,RF,2025-02-16,714.423,-1.0758464441930755,1.0758464441930755,132.3775,-0.14241786266616885,0.14241786266616885
2025-02-16 12:00:00+00:00,715.4354248046875,XGB,2025-02-16,707.546,7.889424804687451,7.889424804687451,133.5925,1.0539679832202082,1.0539679832202082
2025-02-16 12:00:00+00:00,711.2646075789166,RF,2025-02-16,707.546,3.7186075789165898,3.7186075789165898,133.5925,0.4967780829864145,0.4967780829864145
2025-02-16 13:00:00+00:00,750.6780395507812,XGB,2025-02-16,743.737,6.941039550781284,6.941039550781284,135.66000000000003,0.9416214254589892,0.9416214254589892
2025-02-16 13:00:00+00:00,743.3844226435591,RF,2025-02-16,743.737,-0.35257735644086097,0.35257735644086097,135.66000000000003,-0.047830644174767206,0.047830644174767206
2025-02-16 14:00:00+00:00,708.5634775843251,RF,2025-02-16,685.073,23.490477584325163,23.490477584325163,136.095,3.196936546838733,3.196936546838733
2025-02-16 14:00:00+00:00,710.950439453125,XGB,2025-02-16,685.073,25.87743945312502,25.87743945312502,136.095,3.5217901223730497,3.5217901223730497
2025-02-16 15:00:00+00:00,763.155517578125,XGB,2025-02-16,764.898,-1.7424824218750246,1.7424824218750246,146.585,-0.2554217858105505,0.2554217858105505
2025-02-16 15:00:00+00:00,762.6066065324475,RF,2025-02-16,764.898,-2.2913934675525525,2.2913934675525525,146.585,-0.3358839114411909,0.3358839114411909
2025-02-16 16:00:00+00:00,799.8067016601562,XGB,2025-02-16,800.64,-0.8332983398437364,0.8332983398437364,166.1075,-0.13841710398559343,0.13841710398559343
2025-02-16 16:00:00+00:00,797.521425,RF,2025-02-16,800.64,-3.1185749999999643,3.1185749999999643,166.1075,-0.518018696812494,0.518018696812494
2025-02-16 17:00:00+00:00,858.8960571289062,XGB,2025-02-16,861.541,-2.6449428710938037,2.6449428710938037,173.3475,-0.45849423434693315,0.45849423434693315
2025-02-16 17:00:00+00:00,861.0093925000015,RF,2025-02-16,861.541,-0.5316074999985858,0.5316074999985858,173.3475,-0.09215283110600486,0.09215283110600486
2025-02-16 18:00:00+00:00,858.1355174999991,RF,2025-02-16,856.503,1.6325174999990395,1.6325174999990395,170.9425,0.2790666227435858,0.2790666227435858
2025-02-16 18:00:00+00:00,854.8829956054688,XGB,2025-02-16,856.503,-1.6200043945312927,1.6200043945312927,170.9425,-0.27692760121216553,0.27692760121216553
2025-02-16 19:00:00+00:00,838.2296142578125,XGB,2025-02-16,841.05,-2.8203857421874545,2.8203857421874545,162.58749999999998,-0.4585594668579027,0.4585594668579027
2025-02-16 19:00:00+00:00,844.9176974999992,RF,2025-02-16,841.05,3.867697499999281,3.867697499999281,162.58749999999998,0.628839267281133,0.628839267281133
2025-02-16 20:00:00+00:00,788.4136962890625,XGB,2025-02-16,785.721,2.6926962890624964,2.6926962890624964,154.5225,0.4160821623266596,0.4160821623266596
2025-02-16 20:00:00+00:00,785.6194305755492,RF,2025-02-16,785.721,-0.10156942445075856,0.10156942445075856,154.5225,-0.01569476138969234,0.01569476138969234
2025-02-16 21:00:00+00:00,704.9571533203125,XGB,2025-02-16,699.385,5.572153320312509,5.572153320312509,144.9025,0.8074189464965833,0.8074189464965833
2025-02-16 21:00:00+00:00,703.5909472100257,RF,2025-02-16,699.385,4.20594721002567,4.20594721002567,144.9025,0.6094522656007447,0.6094522656007447
2025-02-16 22:00:00+00:00,650.8933715820312,XGB,2025-02-16,655.125,-4.23162841796875,4.23162841796875,134.21249999999998,-0.5679374290466308,0.5679374290466308
2025-02-16 22:00:00+00:00,655.3528512976168,RF,2025-02-16,655.125,0.22785129761678036,0.22785129761678036,134.21249999999998,0.03058049228139213,0.03058049228139213
2025-02-16 23:00:00+00:00,564.9820246952704,RF,2025-02-16,557.376,7.606024695270435,7.606024695270435,131.51,1.0002683076750147,1.0002683076750147
2025-02-16 23:00:00+00:00,555.269287109375,XGB,2025-02-16,557.376,-2.1067128906249764,2.1067128906249764,131.51,-0.2770538122460906,0.2770538122460906
